1	17	8
1	20	7
1	27	6
1	29	9
2	14	3
2	39	4
3	15	8
3	42	9
4	10	9
4	16	8
4	18	5
4	19	3
4	22	7
4	37	6
4	38	2
4	41	4
5	21	7
5	23	8
5	31	6
5	34	9
5	43	5
6	14	8
6	16	7
6	24	9
6	28	6
7	9	8
7	27	9
7	36	7
8	17	9
8	29	6
8	33	7
8	36	4
8	42	8
9	18	6
9	27	7
9	36	5
9	38	9
10	16	4
10	31	8
10	37	5
11	16	9
12	21	8
12	34	2
13	30	1
13	34	4
13	40	6
14	16	5
14	19	4
14	24	7
14	26	6
14	39	2
14	41	9
15	34	5
15	42	7
16	24	6
16	28	2
16	31	1
16	41	3
17	29	7
17	42	6
18	33	3
18	36	9
18	37	7
18	38	8
18	43	4
19	35	8
19	38	6
19	41	5
19	44	9
20	27	8
20	29	5
20	36	6
21	23	5
21	34	6
22	41	8
23	31	9
23	34	3
25	33	9
25	43	6
27	36	3
29	36	1
30	34	8
30	40	9
31	34	7
31	37	4
31	43	3
32	39	5
33	36	8
33	43	2
34	43	1
37	43	9
